t,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13
91,38.00428571428571,37.794285714285714,37.513571428571424,38.04357142857143,37.910000000000004,37.88642857142857,37.778571428571425,37.67642857142857,37.215714285714284,38.18642857142857,37.58142857142858,38.15428571428572,37.94285714285714
92,38.025714285714294,37.81214285714286,37.495,38.02285714285714,37.89642857142858,37.89357142857143,37.78714285714286,37.72714285714286,37.20357142857143,38.18428571428571,37.58428571428571,38.11928571428571,37.96857142857143
93,38.04285714285714,37.82857142857143,37.517857142857146,37.99071428571428,38.102838510000005,37.90642857142858,37.826428571428565,37.74142857142857,37.205714285714286,38.16785714285714,37.60857142857143,38.144285714285715,37.982142857142854
94,37.98857142857143,37.848571428571425,37.53357142857143,37.943571428571424,38.143552795714285,37.884285714285724,37.837857142857146,37.74,37.21071428571428,38.15642857142858,37.604285714285716,38.13214285714285,37.95928571428572
95,37.96499999999999,37.86,37.51428571428572,37.89357142857143,38.02928571428571,37.85142857142856,37.845000000000006,37.69857142857143,37.21,38.175000000000004,37.63928571428572,38.09357142857142,37.98500000000001
96,37.99142857142857,37.872857142857136,37.51,37.871428571428574,38.057857142857145,37.84214285714285,37.857142857142854,37.705714285714286,37.22428571428571,38.20071428571429,37.67857142857143,38.09142857142857,38.005714285714284
97,38.019285714285715,37.87714285714286,37.565714285714286,37.855714285714285,38.09142857142858,37.815,37.86214285714285,37.74428571428571,37.27214285714285,38.19428571428572,37.70214285714286,38.08285714285715,38.007857142857134
98,38.050000000000004,37.830000000000005,37.598571428571425,37.84785714285714,38.05214285714285,37.79071428571429,37.87428571428571,37.742142857142866,37.300000000000004,38.19071428571429,37.72357142857142,38.05857142857143,37.975
99,38.06785714285714,37.82357142857143,37.63285714285714,37.85785714285714,37.932857142857145,37.80500000000001,37.87571428571429,37.71857142857142,37.28285714285714,38.191428571428574,37.69714285714286,38.090714285714284,37.95285714285715
100,38.057142857142864,37.84357142857142,37.638571428571424,37.86714285714286,37.9907142857143,37.81214285714286,37.87,37.715714285714284,37.262857142857136,38.19214285714286,37.674285714285716,38.12214285714286,37.950714285714284
101,38.056428571428576,37.88071428571429,37.63142857142857,37.854285714285716,38.02928571428571,37.832857142857144,37.87142857142857,37.73642857142857,37.19214285714286,38.21142857142858,37.714999999999996,38.16857142857143,37.94857142857143
102,38.09142857142857,37.90071428571429,37.62357142857143,37.864285714285714,38.067857142857136,37.846428571428575,37.87428571428571,37.74071428571428,37.11785714285715,38.237142857142864,37.75571428571429,38.185714285714276,37.951428571428565
103,38.08642857142856,37.90428571428571,37.62928571428571,37.87428571428571,38.02,37.82928571428572,37.87571428571429,37.75785714285714,37.11,38.260714285714286,37.715714285714284,38.16142857142857,37.93571428571429
104,38.089285714285715,37.89357142857143,37.64071428571428,37.855000000000004,38.027142857142856,37.798571428571435,37.88142857142857,37.78142857142857,37.14785714285714,38.278571428571425,37.65500000000001,38.144285714285715,37.916428571428575
105,38.10428571428572,37.90142857142856,37.62928571428572,37.826428571428565,37.992142857142866,37.78214285714285,37.902142857142856,37.79,37.15785714285714,38.287142857142854,37.667142857142856,38.15571428571428,37.904999999999994
106,38.09285714285715,37.910000000000004,37.622142857142855,37.79,38.05928571428571,37.78500000000001,37.91785714285714,37.78142857142858,37.17785714285714,38.285000000000004,37.69571428571429,38.14928571428571,37.878571428571426
107,38.09785714285714,37.915,37.612857142857145,37.78142857142858,38.02642857142856,37.80571428571428,37.902857142857144,37.79,37.16571428571429,38.247857142857136,37.660714285714285,38.14785714285715,37.87428571428571
108,38.10642857142857,37.90714285714285,37.65571428571429,37.777142857142856,38.005714285714284,37.78928571428571,37.90857142857143,37.77285714285715,37.144999999999996,38.22642857142858,37.61928571428571,38.167142857142856,37.86
109,38.13214285714285,37.89928571428572,37.66928571428572,37.778571428571425,38.06428571428571,37.795,37.925000000000004,37.74071428571428,37.127857142857145,38.23357142857143,37.60285714285715,38.12357142857143,37.847142857142856
110,38.128571428571426,37.902142857142856,37.669285714285714,37.77428571428571,38.055,37.805,37.92571428571428,37.80285714285714,37.13285714285714,38.23,37.60214285714285,38.07357142857143,37.85142857142856
111,38.06928571428572,37.92571428571428,37.637142857142855,37.74071428571428,38.048571428571435,37.809285714285714,37.93571428571429,37.839999999999996,37.14714285714285,38.214285714285715,37.71949901357143,38.048571428571435,37.855714285714285
112,38.050714285714285,37.96857142857143,37.61785714285715,37.69428571428572,38.058571428571426,37.811428571428564,37.962857142857146,37.839285714285715,37.17214285714285,38.199285714285715,37.66357142857142,37.99214285714286,37.87571428571429
113,38.063571428571436,37.987857142857145,37.589285714285715,37.675714285714285,37.76567264285715,37.795,37.978571428571435,37.835,37.152142857142856,38.17857142857142,37.620000000000005,37.901428571428575,37.878571428571426
114,38.075714285714284,37.96642857142857,37.58,37.682857142857145,37.95714285714286,37.79785714285715,37.995,37.800000000000004,37.13,38.17642857142857,37.65500000000001,37.89,37.869285714285716
115,38.06071428571429,37.944285714285705,37.597142857142856,37.70428571428572,37.99214285714286,37.78857142857142,37.99571428571429,37.765,37.12428571428571,38.21071428571429,37.669285714285714,37.915,37.84285714285714
