t,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
209,77.0,83.0,45.0,40.0,53.0,35.0,34.0,64.0,95.0,103.0,0.0,68.0,0.0
210,43.0,61.0,11.0,0.0,95.0,78.0,29.0,50.0,89.0,82.0,0.0,38.0,0.0
211,4.0,23.0,25.0,0.0,79.0,80.0,50.0,81.0,43.0,73.0,59.0,9.0,33.0
212,38.0,34.0,52.0,31.0,72.0,89.0,78.0,58.0,94.0,76.0,60.0,47.0,14.0
213,55.0,95.0,25.0,74.0,92.0,47.0,47.0,52.0,16.0,93.0,51.0,12.0,1.0
214,51.0,71.0,30.0,67.0,68.0,52.0,39.0,54.0,38.0,50.0,35.0,22.0,10.0
215,36.0,87.0,36.0,45.0,74.0,9.0,26.0,39.0,93.0,79.0,54.0,4.0,0.0
216,14.0,15.0,11.0,0.0,94.0,0.0,91.0,73.0,69.0,78.0,58.0,0.0,2.0
217,35.0,0.0,10.0,9.0,99.0,30.0,31.0,70.0,71.0,15.0,32.0,16.0,27.0
218,14.0,25.0,38.0,19.0,52.0,38.0,77.0,45.0,66.0,51.0,44.0,47.0,2.0
219,52.0,93.0,39.0,41.0,67.0,3.0,7.0,59.0,65.0,56.0,28.0,36.0,3.0
220,53.0,92.0,13.0,57.0,87.0,21.0,36.0,68.0,81.0,61.0,87.0,24.0,9.0
221,33.0,92.0,42.0,55.0,85.0,0.0,35.0,64.0,73.0,33.0,62.0,57.0,0.0
222,19.0,81.0,26.0,37.0,86.0,46.0,28.0,80.0,66.0,52.0,0.0,43.0,0.0
223,48.0,86.0,24.0,61.0,57.0,16.0,60.0,70.0,68.0,47.0,23.0,65.0,0.0
224,33.0,79.0,35.0,49.0,89.0,72.0,43.0,70.0,23.0,79.0,0.0,52.0,0.0
225,42.0,53.0,30.0,53.0,48.0,62.0,39.0,59.0,59.0,93.0,0.0,11.0,0.0
226,27.0,0.0,43.0,55.0,8.0,40.0,24.0,28.0,61.0,52.0,7.0,7.0,0.0
227,40.0,0.0,74.0,72.0,0.0,90.0,47.0,54.0,14.0,73.0,44.0,0.0,26.0
228,41.0,0.0,20.0,69.0,42.0,102.0,41.0,40.0,13.0,20.0,65.0,59.0,0.0
229,18.0,31.0,47.0,12.0,67.0,73.0,43.0,42.0,17.0,0.0,62.0,41.0,0.0
230,20.0,50.0,44.0,3.0,72.0,52.0,23.0,82.0,39.0,0.0,65.0,22.0,0.0
231,29.0,81.0,49.0,29.0,94.0,84.0,52.0,64.0,87.0,0.0,31.0,11.0,0.0
232,23.0,74.0,53.0,52.0,46.0,61.0,69.0,64.0,44.0,14.0,51.0,65.0,0.0
233,9.0,70.0,38.0,72.0,48.0,71.0,1.0,67.0,0.0,46.0,88.0,67.0,0.0
234,33.0,62.0,32.0,73.0,0.0,60.0,53.0,74.0,20.0,54.0,70.0,6.0,0.0
235,21.0,93.0,0.0,53.0,70.0,29.0,43.0,70.0,57.0,41.0,10.0,47.0,0.0
236,12.0,55.0,13.0,32.0,80.0,14.0,63.0,87.0,51.0,2.0,49.0,51.0,0.0
